74054,-1.11,0.02,0.07,-0.88,50.85,149.35,-160.85,72.50,57.90
74064,-1.11,0.02,0.07,3.97,41.11,152.08,-165.68,73.03,52.60
74074,-1.12,0.02,0.07,8.79,31.51,153.52,-170.55,73.50,47.22
74084,-1.12,0.02,0.07,14.07,22.09,153.84,-175.42,73.92,41.79
74094,-1.13,0.02,0.07,19.07,13.37,153.90,179.57,74.26,36.17
74104,-1.12,0.02,0.07,24.64,5.00,152.78,174.65,74.55,30.58
74114,-1.11,0.02,0.07,29.59,-2.60,152.16,169.55,74.74,24.78
74124,-1.10,0.01,0.07,34.55,-11.24,151.31,164.37,74.93,18.84
74134,-1.10,0.01,0.07,38.90,-20.70,150.09,159.06,75.10,12.76
74144,-1.09,0.01,0.06,43.00,-31.30,147.27,153.77,75.31,6.68
74154,-1.09,0.01,0.06,46.79,-40.98,143.40,148.57,75.47,0.67
74164,-1.10,0.01,0.05,49.60,-49.79,138.94,143.40,75.58,354.71
74174,-1.10,0.01,0.05,52.19,-57.35,133.72,138.42,75.63,348.92
74184,-1.09,0.01,0.05,53.84,-64.26,129.02,133.38,75.60,343.10
74194,-1.09,0.01,0.05,55.26,-70.72,124.25,128.42,75.52,337.35
74204,-1.08,0.01,0.04,55.39,-77.95,120.06,123.26,75.40,331.44
74214,-1.07,0.01,0.04,55.38,-85.19,115.27,118.13,75.24,325.57
74224,-1.06,0.00,0.04,54.25,-92.60,109.75,113.00,75.08,319.74
74234,-1.05,0.00,0.03,52.52,-99.46,103.73,107.95,74.87,314.04
74244,-1.05,0.00,0.03,50.00,-105.81,95.49,103.05,74.72,308.55
74254,-1.04,0.00,0.02,46.59,-111.24,87.74,98.21,74.52,303.20
74264,-1.04,0.00,0.02,42.44,-116.09,78.98,93.45,74.33,297.98
74274,-1.04,0.00,0.02,37.83,-120.19,70.58,88.77,74.10,292.92
74284,-1.03,0.00,0.01,32.16,-124.07,61.98,84.06,73.85,287.92
74294,-1.03,0.00,0.01,26.30,-127.63,53.72,79.37,73.55,283.01
74304,-1.03,0.00,0.01,19.25,-130.87,44.70,74.63,73.26,278.16
74314,-1.03,0.00,0.00,12.12,-133.77,36.00,69.91,72.92,273.39
74324,-1.03,0.00,0.00,4.19,-136.54,26.53,65.10,72.57,268.64
74334,-1.03,0.00,0.00,-3.81,-138.90,16.79,60.26,72.20,263.94
74344,-1.03,0.00,0.00,-12.56,-140.95,6.77,55.35,71.79,259.27
74354,-1.04,0.00,-0.00,-20.71,-142.16,-3.40,50.49,71.36,254.71
74364,-1.04,0.00,-0.00,-29.27,-142.26,-13.14,45.72,70.90,250.35
74374,-1.04,0.01,-0.00,-36.94,-141.33,-22.92,41.07,70.43,246.13
74384,-1.04,0.01,0.00,-44.60,-139.63,-32.64,36.45,69.94,242.02
74394,-1.04,0.01,0.00,-51.42,-137.61,-42.03,31.91,69.41,238.02
74404,-1.05,0.01,0.01,-57.87,-134.65,-51.95,27.38,68.89,234.07
74414,-1.05,0.01,0.01,-63.76,-131.36,-61.13,22.96,68.33,230.25
